2024-01-08 10:08:27 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.10%
2024-01-08 10:08:27 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.17%
2024-01-08 10:08:38 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 2.30%, Memory: 0.44%
2024-01-08 10:08:38 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.17%
2024-01-08 10:08:38 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 34.60%, Memory: 1.38%
2024-01-08 10:08:38 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 1.20%, Memory: 0.94%
2024-01-08 10:08:38 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.34%
2024-01-08 10:08:38 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.09%
2024-01-08 10:08:38 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.17%
2024-01-08 10:08:38 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.10%
2024-01-08 10:08:38 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.30%, Memory: 0.17%
2024-01-08 10:08:48 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 1.50%, Memory: 0.47%
2024-01-08 10:08:48 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.18%
2024-01-08 10:08:48 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 1.50%, Memory: 1.34%
2024-01-08 10:08:49 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.94%
2024-01-08 10:08:49 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 1.50%, Memory: 0.32%
2024-01-08 10:08:49 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.10%
2024-01-08 10:08:49 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.18%
2024-01-08 10:08:49 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.10%
2024-01-08 10:08:49 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.18%
2024-01-08 10:08:59 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 1.00%, Memory: 0.48%
2024-01-08 10:08:59 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 21.50%, Memory: 1.49%
2024-01-08 10:08:59 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 20.40%, Memory: 1.45%
2024-01-08 10:08:59 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 8.70%, Memory: 1.28%
2024-01-08 10:08:59 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.17%
2024-01-08 10:08:59 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.32%
2024-01-08 10:08:59 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.10%
2024-01-08 10:08:59 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.17%
2024-01-08 10:08:59 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.17%
2024-01-08 10:08:59 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.10%, Memory: 0.24%
2024-01-08 10:08:59 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.18%
2024-01-08 10:08:59 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.10%
2024-01-08 10:08:59 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.30%, Memory: 0.24%
2024-01-08 10:08:59 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.11%
